iter	Passed	Remaining
280	2153	550279	2262	5818
280	2265	5795
281	2275	5793
282	2288	5797
283	2295	5786
284	2316	5811
285	2337	5834
286	2359	5861
287	2361	5839
288	2364	5816
289	2366	5793
290	2374	5784
291	2378	5765
292	2380	5743
293	2382	5721
294	2384	5699
295	2387	5677
296	2389	5655
297	2391	5633
298	2393	5612
299	2424	5657
300	2430	5644
301	2432	5622
302	2435	5601
303	2437	5580
304	2456	5596
305	2458	5576
306	2460	5555
307	2463	5534
308	2465	5513
309	2467	5492
310	2478	5491
311	2501	5516
312	2504	5496
313	2506	5475
314	2508	5455
315	2512	5437
316	2514	5418
317	2517	319	2398	5096
320	2400	5077
321	2411	5076
322	2421	5075
323	2456	5124
324	2476	5142
325	2482	5131
326	2484	5113
327	2486	5094
328	2488	5075
329	2490	5057
330	2493	5039
331	2495	5021
332	2497	5003
333	2499	4984
334	2502	4967
335	2504	4949
336	2506	4931
337	2508	4913
338	2511	4896
339	2513	4878
340	2339	2699	5241
340	2717	5251
341	2719	5232
342	2738	5246
343	2741	5227
344	2743	5208
345	2745	5189
346	2747	5170
347	2749	5152
348	2752	5133
349	2754	5115
350	2756	5097
351	2759	5079
352	2774	5085
353	2777	5068
354	2779	5049
355	2781	5032
356	2814	5068
357	2816	5050
358	2818	5032
359	2820	5015
360	2823	4997
361	2825	4979
362	2827	4962
363	2829	4944
364	2832	4927
365	2834	4909
366	2870	4951
367	2872	4933
368	2875	4916
369	2877	4899
370	2879	4881
371	2881	4864
372	2883	4847
373	2890	4837
374	2892	4820
375	2376	2880	376	2377	2882	377	2378	2884	378	2379	2887	4710
380	381	2807	4542
382	281383	2968	4762
384	2970	4745
385	2973	4729
386	2975	4712
387	2977	4696
388	2979	4680
389	298389	285390	2987	4652
391	2989	4636
392	2991	4621
393392	393	2885	4438
394	2888	4423
395	289396	305396	293397	3067	4640
398	3086	4649
399	309399	296400	3121	4662
401	3136	4666
402	3142	4655
403	3145	4641
404	3148	4625
405	3166	4633
406	3177	4630
407	3191	4631
408	3193	4615
409	3196	4599
410	3198	4583
411	3216	4590
412	3234	4597
413	3247	4596
414	3249	4580
415	3251	4565
416	325416	312417	325417	3151	4387
418	3156	4376
419	3159	4363
420	3174	4365
421	317422	3314	4521
423	3349	4550
424	3377	4568
425	3385	4561
426	3413	4580
427	3426	4579
428	3432	4568
429	3434	4552
430	3436	4537
431	3439	4521
432	3441	4506
433	3443	4490
434	3445	4475
435	3447	4460
436	3450	4444
437	3452	4429
438	3454	4414
439	3456	4399
440	3459	4384
441	3461	4369
442	3479	4374
443	3509	4394
444	3522	4392
445	3534	4390
446	3537	4376
447	3539	4361
448	3541	4346
449	3544	4331
450	3546	4316
451	3548	4302
452	3550	4287
453	3552	4272
454	3555	4258
455	3557	4243
456	3559	4229
457	3561	4214
458	3563	4200
459	3566	4186
460	3568	4172
461	3570	4157
462	3572	4143
463	3575	4129
464	3577	4115
465	3579	4101
466	3581	4087
467	3583	4073
468	3599	4075
469	3601	4061
470	3623	4069
471	3635	4067
472	3657	4074
473	3659	4061
474	3668	4054
475	3683	4055
476	3708	4065
477	3714	4055
478	3716	4042
479	3747	4059
480	3782	4081
481	3784	4067
482	3809	4077
483	3823	4076
484	3834	4071
485	3837	4058
486	3839	4044
487	3841	4030
488	3843	4016
489	3845	4002
490	3848	3989
491	3850	3975
492	3868	3978
493	3881	3975
494	3883	3962
495	3885	3948
496	3888	3935
497	3890	3921
498	3892	3908
499	3894	3894
500	3897	3881
501	3899	3868
502	3926	3880
503	3966	3903
504	3992	3912
505	4003	3908
506	4016	3905
507	4019	3892
508	4023	3881
509	4026	3868
510	4028	3854
511	4030	3841
512	4032	3828
513	4035	3815
514	4037	3802
515	4039	3788
516	4041	3775
517	4043	3762
518	4046	3749
519	4048	3737
520	405520	391521	4088	3743
522	4090	3730
523	4092	3717
524	4116	3724
525	4119	3711
526	4121	3699
527	4124	3686
528	4126	3674
529	4128	3661
530	4130	3648
531	4141	3642
532	4143	3630
533	4167	3636
534	4213	3662
535	4224	3656
536	4233	3650
537	4236	3637
538	4238	3625
539	4241	3612
540	4243	3600
541	4245	3587
542	4247	3575
543	4250	3562
544	4252	3550
545	4254	3537
546	4256	3525
547	4258	3512
548	4261	3500
549	4263	3488
550	4265	3476
551	4307	3495
552	4337	3506
553	4342	3496
554	4344	3483
555	4347	3471
556	4349	3459
557	4351	3446
558	4353	3434
559	4355	3422
560	4358	3410
561	4376	3411
562	4386	3405
563	4397	3399
564	4417	3401
565	4422	3391
566	4445	3395
567	4448	3383
568	4450	3371
569	4452	3359
570	4474	3361
571	4493	3361
572	4508	3359
573	4517	3352
574	4531	3349
575	4533	3337
576	4543	3330
577	4556	3326
578	4563	3318
579	4565	3306
580	4569	3295
581	4586	3294
582	4588	3282
583	4598	3275
584	4600	3263
585	4602	3251
586	4605	3240
587	4610	3230
588	4612	3218
589	4615	3207
590	4626	3201
591	4637	3195
592	4639	3184
593	4641	3172
594	4647	3163
595	4650	3152
596	4691	3166
597	4693	3155
598	4695	3143
599	4697	3131
600	4704	3123
601	4706	3111
602	4708	3100
603	4711	3088
604	4713	3077
605	4715	3065
606	4717	3054
607	4720	3043
608	4722	3031
609	4724	3020
610	4726	3009
611	4728	2998
612	4731	2986
613	4733	2975
614	4735	2964
615	4737	2953
616	4783	2969
617	4788	2959
618	4856	2989
619	4871	2985
620	4873	2974
621	4876	2963
622	4879	2952
623	4884	2943
624	4896	2937
625	4898	2926
626	4900	2915
627	4902	2904
628	4905	2893
629	4916	2887
630	4918	2876
631	4920	2865
632	4933	2860
633	4936	2849
634	4938	2838
635	4940	2827
636	4942	2816
637	4945	2805
638	5025	2839
639	5028	2828
640	5031	2818
641	5034	2807
642	5036	2796
643	5038	2785
644	5048	2778
645	5050	2767
646	5059	2760
647	5078	2758
648	5087	2751
649	5090	2740
650	5108	2738
651	5126	2736
652	5128	2725
653	5130	2714
654	5157	2716
655	5159	2705
656	5161	2694
657	5163	2683
658	5166	2673
659	5168	2662
660	5170	2651
661	5172	2641
662	5174	2630
663	5177	2619
664	5179	2609
665	5181	2598
666	5183	2588
667	5186	2577
668	5188	2566
669	5190	2556
670	5192	2546
671	5194	2535
672	5230	2541
673	5241	2535
674	5246	2525
675	5248	2515
676	5252	2506
677	5254	2495
678	5297	2504
679	5306	2497
680	5317	2490
681	5335	2488
682	5363	2489
683	5366	2479
684	5368	2468
685	5370	2458
686	5373	2448
687	5375	2437
688	5383	2430
689	5386	2419
690	5397	2413
691	5399	2403
692	5402	2393
693	5404	2382
694	5406	2372
695	5408	2362
696	5411	2352
697	5418	2344
698	5440	2342
699	5442	2332
700	5445	2322
701	5447	2312
702	5449	2302
703	5451	2292
704	5454	2282
705	5456	2272
706	5458	2262
707	5460	2252
708	5463	2242
709	5482	2239
710	5484	2229
711	5498	2224
712	5507	2216
713	5509	2206
714	5511	2197
715	5514	2187
716	5516	2177
717	5518	2167
718	5520	2157
719	5522	2147
720	5525	2138
721	5527	2128
722	5536	2121
723	5557	2118
724	5559	2108
725	5561	2099
726	5565	2090
727	5570	2081
728	5579	2074
729	5583	2065
730	5587	2056
731	5592	2047
732	5628	2050
733	5638	2043
734	5644	2035
735	5647	2025
736	5649	2015
737	5651	2006
738	5665	2000
739	5667	1991
740	5695	1990
741	5699	1981
742	5704	1973
743	5707	1963
744	5710	1954
745	5712	1945
746	5715	1935
747	5718	1926
748	5729	1920
749	5732	1910
750	5734	1901
751	5736	1891
752	5739	1882
753	5741	1873
754	5743	1863
755	5745	1854
756	5748	1845
757	5750	1835
758	5752	1826
759	5754	1817
760	5756	1807
761	5759	1798
762	5761	1789
763	5763	1780
764	5767	1771
765	5772	1763
766	5785	1757
767	5788	1748
768	5790	1739
769	5792	1730
770	5794	1721
771	5797	1712
772	5799	1703
773	5812	1697
774	5814	1688
775	5816	1679
776	5818	1670
777	5831	1664
778	5834	1655
779	5840	1647
780	5842	1638
781	5844	1629
782	5847	1620
783	5849	1611
784	5851	1602
785	5855	1594
786	5870	1588
787	5881	1582
788	5884	1573
789	5887	1564
790	5889	1556
791	5891	1547
792	5898	1539
793	5900	1530
794	5905	1522
795	5907	1513
796	5911	1505
797	5921	1498
798	5924	1490
799	5926	1481
800	5929	1473
801	5931	1464
802	5938	1456
803	5940	1448
804	5965	1445
805	5968	1436
806	5975	1429
807	5977	1420
808	5979	1411
809	5981	1403
810	5984	1394
811	5989	1386
812	5991	1378
813	5994	1369
814	5996	1361
815	5998	1352
816	6000	1344
817	6003	1335
818	6005	1327
819	6007	1318
820	6009	1310
821	6011	1301
822	6014	1293
823	6016	1285
824	6018	1276
825	6021	1268
826	6044	1264
827	6046	1256
828	6049	1247
829	6051	1239
830	6053	1231
831	6055	1222
832	6058	1214
833	6060	1206
834	6062	1198
835	6064	1189
836	6067	1181
837	6069	1173
838	6071	1165
839	6073	1156
840	6075	1148
841	6086	1142
842	6099	1136
843	6101	1127
844	6104	1119
845	6106	1111
846	6109	1103
847	6111	1095
848	6113	1087
849	6115	1079
850	6118	1071
851	6121	1063
852	6123	1055
853	6126	1047
854	6128	1039
855	6132	1031
856	6146	1025
857	6153	1018
858	6156	1010
859	6163	1003
860	6169	996
861	6172	988
862	6174	980
863	6176	972
864	6179	964
865	6182	956
866	6194	950
867	6197	942
868	6208	935
869	6210	928
870	6212	920
871	6215	912
872	6217	904
873	6219	896
874	6221	888
875	6224	881
876	6232	874
877	6234	866
878	6237	858
879	6239	850
880	6241	843
881	6245	835
882	6247	827
883	6249	820
884	6257	813
885	6259	805
886	6269	798
887	6271	790
888	6273	783
889	6275	775
890	6277	768
891	6280	760
892	6282	752
893	6284	745
894	6286	737
895	6289	729
896	6291	722
897	6293	714
898	6309	708
899	6311	701
900	6314	693
901	6319	686
902	6321	679
903	6323	671
904	6325	664
905	6327	656
906	6330	649
907	6332	641
908	6334	634
909	6337	626
910	6339	619
911	6341	611
912	6343	604
913	6348	597
914	6353	590
915	6355	582
916	6357	575
917	6360	568
918	6362	560
919	6364	553
920	6366	546
921	6373	539
922	6380	532
923	6382	524
924	6384	517
925	6386	510
926	6388	503
927	6402	496
928	6404	489
929	6407	482
930	6412	475
931	6415	468
932	6418	460
933	6422	453
934	6425	446
935	6427	439
936	6433	432
937	6435	425
938	6438	418
939	6440	411
940	6445	404
941	6448	397
942	6451	389
943	6454	382
944	6458	375
945	6471	369
946	6476	362
947	6478	355
948	6481	348
949	6484	341
950	6486	334
951	6489	327
952	6491	320
953	6494	313
954	6499	306
955	6510	299
956	6512	292
957	6525	286
958	6530	279
959	6533	272
960	6535	265
961	6537	258
962	6542	251
963	6544	244
964	6547	237
965	6549	230
966	6551	223
967	6553	216
968	6556	209
969	6558	202
970	6560	195
971	6571	189
972	6574	182
973	6576	175
974	6582	168
975	6584	161
976	6586	155
977	6589	148
978	6601	141
979	6603	134
980	6605	127
981	6608	121
982	6610	114
983	6613	107
984	6615	100
985	6617	93
986	6621	87
987	6624	80
988	6626	73
989	6628	66
990	6631	60
991	6633	53
992	6635	46
993	6638	40
994	6640	33
995	6643	26
996	6645	19
997	6647	13
998	6650	6
999	6653	0
98	6534	6
999	6541	0
	0
