iter	Logloss
0	0.6825357021
1	0.6740489272
2	0.6649596606
3	0.6575235744
4	0.6507692409
5	0.643240773166	0.63664714637	0.6282166666
8	0.62381989889	9	0.6210050281010	0.6162121844
11	0.6115941834
12	0.607594112
13	0.6033251012
14	0.5997126557
15	0.5957598042
16	0.5918569653
17	0.5884778518
118	0.5837649242
19	0.5803565252
20	0.577420288
21	0.5745978894
22	0.5713537222
23	0.5684164266
24	0.5655130457
25	0.5634252465
26	0.5610791134
27	0.5589770742
28	0.5562971636
29	0.55410049
30	0.5525689506
31	0.54997924532	0.5490560389
33	0.5470975691
34	0.5449954524
35	0.5426187918
36	0.5401757853
37	0.5386419633
38	0.5371332807
39	0.5350554269
40	0.5333852183
41	0.5316787352
42	0.529561167
43	0.5274243038
44	0.5255680092
45	0.5238589628
46	0.5221449478
47	0.5208801547
48	0.5193389526
49	0.5180296486
50	0.5166567316
51	0.5151344305
52	0.5137949106
53	0.5123185512
54	0.511381369855	0.5099469612
56	0.5084808862
57	0.5071995396
58	0.5059652663
59	0.5046454336
60	0.5018320362
61	0.5006063575
62	0.4990497142
63	0.4979367395
64	0.4968555905
65	0.4954940774
66	0.4942349087
67	0.4930383311
68	0.4923856866
6969	0.4828897803
70	0.4816725571	0.4883223741
72	0.4871191924
73	0.4857337865
74	0.4845799559
75	0.4835837521
76	0.4820586496
77	0.4809909778	0.4754614367
79	0.479	0.4697871172
80	0.4689122393
81	0.4678385137
82	0.467219026
83	0.4657544285
84	0.464291691
85	0.4630574102
86	0.4621295159
87	0.461382018
88	0.4598443301
89	0.4589515128
90	0.4578924682
91	0.4565200966
92	0.4551193711
93	0.453867803
94	0.4528246058
95	0.4518596156
96	0.4509090136
97	0.44971487
98	0.4489552072
99	0.4477164917
100	0.447058383
101	0.4459594077
102	0.4449413514
103	0.4441652353
104	0.4427637228
105	0.4418226124
106	0.4405155728
107	0.4390099783
108	0.4384065876
109	0.4373129603
110	0.4363990065
111	0.4356944008
112112	0.4386495694
113	0.4376454482
114	0.4357009598
115	0.4346845869
116	0.4337820295
117	0.4328894901
118	0.4318085742
119	0.4309403515
120	0.4301714909
121	0.4293473647
122	0.4280207369
123	0.4271931134
124	0.4261377002
125	0.4249128428
126	0.4238145226
127	0.4231324128	0.42093596129	0.4269977699
130	0.4263333816
131	0.4131	0.4192220947
132	0.418142039
133	0.4175337595
134	0.41635485135	0.4147600779
136	0.4139638344
137	0.4129460924
138	0.4120081728
139	0.4114395662
140	0.4105820814
141	0.4100490505
142	0.4095425977
143	0.4081204729
144	0.40671582
145	0.4057791177
146	0.4043719134
147	0.4029840626
148	0.4019877848
149	0.4011352612
150	0.4001806158
151	0.3994803633
152	0.3987830404
153	0.3977543868
154	0.3967320084
155	0.3958549575
156	0.3946573571
157	0.3940757424
158	0.3936182003
159	0.3927153069
160	0.3917920338
161	0.3907393622
162	0.3902365618
163	0.3894232015
164	0.3884523591
165	0.3879177316
166	0.3872637641
167	0.3865828245
168	0.3862793614
169	0.3858128084
170	0.3853538969
171	0.3844196481
172	0.3837319864
173	0.3831285987
174	0.3823293785
175	0.3818563086
176	0.3809799206
177	0.38097579
178	0.379926597
179	0.3789920658
180	0.3779938317
181	0.3772614207
182	0.3764179579
183	0.3756868117
184	0.3747711037
185	0.3737337716
186	0.3728072172
187	0.3721997754
188	0.3708090658
189	0.3696969029
190	0.3691650667
191	0.3682213609
192	0.3673313468
193	0.3664408374
194	0.3658171957
195	0.3649862881
196	0.197	0.36401197	0.3632868375
198	0.3626767075
199	0.3619325822
200	0.3614012006
201	0.3604964332
202	0.3596398746
203	0.358836958
204	0.3581465511
205	0.3571685628
206	0.207	0.3566089515
208	0.3560259865
209	0.35503209	0.3538422679
210	0.353250331
211	0.3525040069
212	0.3517255305
213	0.3505692361
214	0.3496432933
215	0.3488812951
216	0.3482040914
217	0.3470674274
218	0.3463981973
219	0.3451252459
220	0.344281149
221	0.3434073132
222	0.3424183916
223	0.3415448798
224	0.3405998511
225	0.3400973172
226	0.3390194167
227	0.3382507906
228	0.3375106223
229	0.3369827633
230	0.3360961312
231	0.3356853003
232	0.3350334107
233	0.3342642258
234	0.3333637723
235	0.332345948
236	0.3315062115
237	0.3310010194
238	0.3302002705
239	0.3293068467
240	0.3286605423
241	0.3277584955
242	0.3269052547
243	0.3259352755
244	0.3250825435
245	0.3243321864
246	0.3235364923
247	0.3225390144
248	0.322114029
249	0.3212042883
250	0.3204368878
251	0.3196173357
252	0.3189662181
253	0.3180672158
254	0.3171867244
255	0.3164655384
256	0.3160537579
257	0.315406907
258	0.3147133634
259	0.3136486278
260	0.3130137339
261	0.3120051764
262	0.3111602172
263	0.3105621481
264	0.3099547025
265	0.3090986568
266	0.3084825732
267	0.3268	0.3087674471
269	0.3079193227
270	0.3069738529
271	0.3061356132
272	0.3053847267
273	0.3047298997
274	0.304274	0.3033539116
275	0.3028384625
276	0.3022155051
277	0.3015271845
278	0.279	0.30003279	0.299849415
280	0.2992662388
281	0.2984741265
282	0.2977181045
283	0.2966137173
284	0.2961358139
285	0.2957013949
286	0.2951644517
287	0.2945447356
288	0.2937612691
289	0.293352378
290	0.2928200563
291	0.2921923487
292	0.29172782
293	0.2912011538
294	0.2904504963
295	0.2897889338
296	0.2893931936
297	0.28874328
298	0.2882321234
299	0.2877306349
300	0.287061641
301	0.2865345367
302	0.2858870161
303	0.2850144455
304	0.2842131046
305	0.2835186702
306	0.2828755154
307	0.28231516
308	0.2814505507
309	0.281002403
310	0.2805036507
311	0.2798342587
312	0.2791675285
313	0.2787100207
314	0.2780386746
315	0.2773360746
316	0.2766388462
317	0.2760963058
318	0.2757170175
319	0.2319	0.2785005213
320	0.2780313042
321	0.2771597785
322	0.276755052
323	0.2761853143
324	0.2756747469
325	0.2752422267
326	0.2747978223
327	0.2744318757
328	0.2737374486
329	0.2730537678
330	0.2726945196
331	0.2722460805
332	0.2716723769
333	0.2710596447
334	0.2706379004
335	0.2702650196
336	0.2697543995
337	0.2691960648
338	0.2686339	0.2639669192
340	0.2633195388
341	0.2627676139
342	0.2623710233
343	0.2616935818
344	0.2612782444
345	0.2607039467
346	0.2600872932
347	0.2595683966
348	0.2590302284
349	0.2582835488
350	0.2577180025
351	0.2571634242
352	0.2567468346
353	0.2563576302
354	0.2558119061
355	0.2553387157
356	0.254598773
357	0.2539275536
358	0.2535398926
359	0.2529651362
360	0.2525958507
361	0.2519933585
362	0.2514990168
363	0.2511971082
364	0.2504922998
365	0.2500146713
366	0.2494719317
367	0.2489469655
368	0.2484803618
369	0.2480424686
370	0.2477098098
371	0.2473424408
372	0.2469491017
373	0.2466230142
374	0.2458943914
37376	0.24368786537377	0.2431483233378	0.24277358113379	0.242205051
380	0.2416703426
381	0.2410450081
382381	0.2467683138338383	0.240685849
384	0.2402001162
385	0.23964386	0.386	0.23908387	0.387	0.23858388	388	0.2383093389	389	0.2378484390390	0.23743117391	0.236287116
392	0.2358801497
393	0.2350781643
394	0.393	0.24043395	0.2341511515
3396	0.23443048773397	0.2339480948
398	0.2336525192
399	0.2330002607
400	0.2323133104
401	0.2318565455
402	0.2313930636
403	0.2309261761
404	0.2305533245
405	0.2299081553
406	0.2293989683
407	0.2289797716
408	0.2286345757
